bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=4096
856415 records sent, 171283.0 records/sec (20.91 MB/sec), 254.1 ms avg latency, 1054.0 max latency.
949405 records sent, 189881.0 records/sec (23.18 MB/sec), 269.1 ms avg latency, 1037.0 max latency.
957470 records sent, 190731.1 records/sec (23.28 MB/sec), 253.5 ms avg latency, 940.0 max latency.
983856 records sent, 196731.9 records/sec (24.02 MB/sec), 256.9 ms avg latency, 853.0 max latency.
979804 records sent, 195960.8 records/sec (23.92 MB/sec), 258.8 ms avg latency, 852.0 max latency.
924130 records sent, 183760.2 records/sec (22.43 MB/sec), 264.9 ms avg latency, 1076.0 max latency.
1007797 records sent, 201559.4 records/sec (24.60 MB/sec), 250.7 ms avg latency, 1045.0 max latency.
966902 records sent, 191314.2 records/sec (23.35 MB/sec), 271.2 ms avg latency, 843.0 max latency.
983749 records sent, 195498.6 records/sec (23.86 MB/sec), 255.6 ms avg latency, 839.0 max latency.
955688 records sent, 190946.7 records/sec (23.31 MB/sec), 255.9 ms avg latency, 834.0 max latency.
973492 records sent, 194698.4 records/sec (23.77 MB/sec), 260.8 ms avg latency, 948.0 max latency.
954048 records sent, 190809.6 records/sec (23.29 MB/sec), 264.0 ms avg latency, 984.0 max latency.
951020 records sent, 189107.2 records/sec (23.08 MB/sec), 266.6 ms avg latency, 978.0 max latency.
949832 records sent, 189096.6 records/sec (23.08 MB/sec), 267.4 ms avg latency, 1029.0 max latency.
921033 records sent, 184132.9 records/sec (22.48 MB/sec), 263.9 ms avg latency, 1257.0 max latency.
964274 records sent, 192854.8 records/sec (23.54 MB/sec), 265.4 ms avg latency, 961.0 max latency.
977883 records sent, 195576.6 records/sec (23.87 MB/sec), 253.4 ms avg latency, 1126.0 max latency.
975318 records sent, 194131.8 records/sec (23.70 MB/sec), 258.6 ms avg latency, 1066.0 max latency.
963364 records sent, 190992.1 records/sec (23.31 MB/sec), 263.3 ms avg latency, 914.0 max latency.
990008 records sent, 198001.6 records/sec (24.17 MB/sec), 257.4 ms avg latency, 912.0 max latency.
961813 records sent, 191863.8 records/sec (23.42 MB/sec), 252.7 ms avg latency, 913.0 max latency.
961688 records sent, 192337.6 records/sec (23.48 MB/sec), 263.6 ms avg latency, 943.0 max latency.
942904 records sent, 187829.5 records/sec (22.93 MB/sec), 264.3 ms avg latency, 1046.0 max latency.
930783 records sent, 185451.9 records/sec (22.64 MB/sec), 261.5 ms avg latency, 1053.0 max latency.
963728 records sent, 192745.6 records/sec (23.53 MB/sec), 264.0 ms avg latency, 1038.0 max latency.
965239 records sent, 193047.8 records/sec (23.57 MB/sec), 263.6 ms avg latency, 1109.0 max latency.
938023 records sent, 187604.6 records/sec (22.90 MB/sec), 268.2 ms avg latency, 1065.0 max latency.
913568 records sent, 182640.5 records/sec (22.29 MB/sec), 267.6 ms avg latency, 1106.0 max latency.
931105 records sent, 185147.1 records/sec (22.60 MB/sec), 276.8 ms avg latency, 1115.0 max latency.
921851 records sent, 184038.9 records/sec (22.47 MB/sec), 270.8 ms avg latency, 1070.0 max latency.
996238 records sent, 199247.6 records/sec (24.32 MB/sec), 254.7 ms avg latency, 782.0 max latency.
972072 records sent, 193717.0 records/sec (23.65 MB/sec), 259.7 ms avg latency, 732.0 max latency.
963172 records sent, 190727.1 records/sec (23.28 MB/sec), 263.0 ms avg latency, 886.0 max latency.
955285 records sent, 189540.7 records/sec (23.14 MB/sec), 263.6 ms avg latency, 993.0 max latency.
986005 records sent, 196886.0 records/sec (24.03 MB/sec), 254.8 ms avg latency, 830.0 max latency.
936098 records sent, 187219.6 records/sec (22.85 MB/sec), 264.4 ms avg latency, 1072.0 max latency.
941814 records sent, 188362.8 records/sec (22.99 MB/sec), 269.8 ms avg latency, 1075.0 max latency.
977241 records sent, 193321.7 records/sec (23.60 MB/sec), 257.0 ms avg latency, 931.0 max latency.
950178 records sent, 188303.2 records/sec (22.99 MB/sec), 266.5 ms avg latency, 954.0 max latency.
947380 records sent, 189476.0 records/sec (23.13 MB/sec), 269.2 ms avg latency, 841.0 max latency.
969679 records sent, 192091.7 records/sec (23.45 MB/sec), 261.6 ms avg latency, 871.0 max latency.
949527 records sent, 189905.4 records/sec (23.18 MB/sec), 256.8 ms avg latency, 1041.0 max latency.
962516 records sent, 191812.7 records/sec (23.41 MB/sec), 263.4 ms avg latency, 936.0 max latency.
964173 records sent, 191456.1 records/sec (23.37 MB/sec), 262.2 ms avg latency, 910.0 max latency.
968484 records sent, 193580.7 records/sec (23.63 MB/sec), 260.6 ms avg latency, 864.0 max latency.
999117 records sent, 198041.0 records/sec (24.17 MB/sec), 257.5 ms avg latency, 836.0 max latency.
973629 records sent, 194725.8 records/sec (23.77 MB/sec), 258.5 ms avg latency, 858.0 max latency.
977959 records sent, 195591.8 records/sec (23.88 MB/sec), 246.5 ms avg latency, 767.0 max latency.
953062 records sent, 190307.9 records/sec (23.23 MB/sec), 274.9 ms avg latency, 878.0 max latency.
939124 records sent, 185854.7 records/sec (22.69 MB/sec), 263.3 ms avg latency, 811.0 max latency.
974274 records sent, 193962.6 records/sec (23.68 MB/sec), 253.2 ms avg latency, 960.0 max latency.
920059 records sent, 180722.6 records/sec (22.06 MB/sec), 278.8 ms avg latency, 1311.0 max latency.
923659 records sent, 183739.6 records/sec (22.43 MB/sec), 276.1 ms avg latency, 994.0 max latency.
971569 records sent, 193964.7 records/sec (23.68 MB/sec), 260.6 ms avg latency, 1067.0 max latency.
944697 records sent, 188939.4 records/sec (23.06 MB/sec), 266.2 ms avg latency, 829.0 max latency.
953870 records sent, 190241.3 records/sec (23.22 MB/sec), 258.9 ms avg latency, 789.0 max latency.
970942 records sent, 192380.0 records/sec (23.48 MB/sec), 261.9 ms avg latency, 859.0 max latency.
945882 records sent, 189176.4 records/sec (23.09 MB/sec), 268.7 ms avg latency, 1121.0 max latency.
945968 records sent, 189193.6 records/sec (23.09 MB/sec), 268.8 ms avg latency, 934.0 max latency.
913346 records sent, 182486.7 records/sec (22.28 MB/sec), 278.2 ms avg latency, 1003.0 max latency.
928199 records sent, 184937.0 records/sec (22.58 MB/sec), 264.1 ms avg latency, 926.0 max latency.
969755 records sent, 193796.0 records/sec (23.66 MB/sec), 265.7 ms avg latency, 862.0 max latency.
957244 records sent, 191295.8 records/sec (23.35 MB/sec), 253.6 ms avg latency, 807.0 max latency.
952889 records sent, 190007.8 records/sec (23.19 MB/sec), 267.8 ms avg latency, 1042.0 max latency.
970147 records sent, 194029.4 records/sec (23.69 MB/sec), 260.6 ms avg latency, 840.0 max latency.
960958 records sent, 191007.4 records/sec (23.32 MB/sec), 262.3 ms avg latency, 888.0 max latency.
970588 records sent, 194078.8 records/sec (23.69 MB/sec), 255.1 ms avg latency, 945.0 max latency.
921676 records sent, 184335.2 records/sec (22.50 MB/sec), 271.1 ms avg latency, 1148.0 max latency.
963173 records sent, 192634.6 records/sec (23.51 MB/sec), 263.6 ms avg latency, 1068.0 max latency.
923519 records sent, 183310.6 records/sec (22.38 MB/sec), 278.4 ms avg latency, 1144.0 max latency.
951376 records sent, 188727.6 records/sec (23.04 MB/sec), 258.7 ms avg latency, 838.0 max latency.
957117 records sent, 191423.4 records/sec (23.37 MB/sec), 258.9 ms avg latency, 1000.0 max latency.
960101 records sent, 189593.4 records/sec (23.14 MB/sec), 261.9 ms avg latency, 990.0 max latency.
909381 records sent, 181876.2 records/sec (22.20 MB/sec), 286.1 ms avg latency, 923.0 max latency.
960099 records sent, 191407.3 records/sec (23.37 MB/sec), 261.8 ms avg latency, 789.0 max latency.
978498 records sent, 194300.6 records/sec (23.72 MB/sec), 259.6 ms avg latency, 898.0 max latency.
1009372 records sent, 201431.3 records/sec (24.59 MB/sec), 247.9 ms avg latency, 927.0 max latency.
912629 records sent, 182525.8 records/sec (22.28 MB/sec), 269.8 ms avg latency, 1056.0 max latency.
955914 records sent, 191182.8 records/sec (23.34 MB/sec), 271.9 ms avg latency, 978.0 max latency.
948053 records sent, 189610.6 records/sec (23.15 MB/sec), 261.8 ms avg latency, 839.0 max latency.
918169 records sent, 183157.6 records/sec (22.36 MB/sec), 274.8 ms avg latency, 1121.0 max latency.
918539 records sent, 180886.0 records/sec (22.08 MB/sec), 269.6 ms avg latency, 1226.0 max latency.
954919 records sent, 190983.8 records/sec (23.31 MB/sec), 260.6 ms avg latency, 894.0 max latency.
999438 records sent, 196353.2 records/sec (23.97 MB/sec), 257.6 ms avg latency, 862.0 max latency.
958631 records sent, 191726.2 records/sec (23.40 MB/sec), 261.3 ms avg latency, 959.0 max latency.
950515 records sent, 189458.8 records/sec (23.13 MB/sec), 271.1 ms avg latency, 1063.0 max latency.
960249 records sent, 192049.8 records/sec (23.44 MB/sec), 257.4 ms avg latency, 883.0 max latency.
938592 records sent, 187718.4 records/sec (22.91 MB/sec), 266.6 ms avg latency, 1251.0 max latency.
905522 records sent, 180995.8 records/sec (22.09 MB/sec), 264.0 ms avg latency, 1107.0 max latency.
951765 records sent, 188692.5 records/sec (23.03 MB/sec), 280.2 ms avg latency, 1034.0 max latency.
980277 records sent, 196016.2 records/sec (23.93 MB/sec), 254.2 ms avg latency, 779.0 max latency.
967392 records sent, 192592.5 records/sec (23.51 MB/sec), 265.1 ms avg latency, 767.0 max latency.
957017 records sent, 191403.4 records/sec (23.36 MB/sec), 263.5 ms avg latency, 812.0 max latency.
1000072 records sent, 200014.4 records/sec (24.42 MB/sec), 252.0 ms avg latency, 818.0 max latency.
951252 records sent, 190250.4 records/sec (23.22 MB/sec), 257.7 ms avg latency, 901.0 max latency.
959017 records sent, 191115.4 records/sec (23.33 MB/sec), 266.3 ms avg latency, 801.0 max latency.
907582 records sent, 179577.0 records/sec (21.92 MB/sec), 264.9 ms avg latency, 1072.0 max latency.
971598 records sent, 194164.3 records/sec (23.70 MB/sec), 259.2 ms avg latency, 1005.0 max latency.
930449 records sent, 184210.8 records/sec (22.49 MB/sec), 271.9 ms avg latency, 1010.0 max latency.
950324 records sent, 189647.6 records/sec (23.15 MB/sec), 268.4 ms avg latency, 919.0 max latency.
941289 records sent, 188257.8 records/sec (22.98 MB/sec), 275.5 ms avg latency, 1082.0 max latency.
962177 records sent, 192435.4 records/sec (23.49 MB/sec), 260.6 ms avg latency, 786.0 max latency.
934953 records sent, 186990.6 records/sec (22.83 MB/sec), 267.4 ms avg latency, 1146.0 max latency.
954992 records sent, 190086.0 records/sec (23.20 MB/sec), 268.7 ms avg latency, 836.0 max latency.
922285 records sent, 184199.1 records/sec (22.49 MB/sec), 260.5 ms avg latency, 766.0 max latency.
940875 records sent, 188175.0 records/sec (22.97 MB/sec), 261.2 ms avg latency, 1093.0 max latency.
948926 records sent, 189785.2 records/sec (23.17 MB/sec), 274.6 ms avg latency, 1338.0 max latency.
928166 records sent, 185633.2 records/sec (22.66 MB/sec), 274.3 ms avg latency, 974.0 max latency.
963512 records sent, 192586.8 records/sec (23.51 MB/sec), 261.2 ms avg latency, 825.0 max latency.
966345 records sent, 191925.5 records/sec (23.43 MB/sec), 266.4 ms avg latency, 798.0 max latency.
928729 records sent, 183181.3 records/sec (22.36 MB/sec), 259.7 ms avg latency, 1114.0 max latency.
956293 records sent, 191258.6 records/sec (23.35 MB/sec), 273.3 ms avg latency, 1149.0 max latency.
929736 records sent, 185724.3 records/sec (22.67 MB/sec), 266.9 ms avg latency, 1098.0 max latency.
927653 records sent, 185234.2 records/sec (22.61 MB/sec), 258.3 ms avg latency, 1130.0 max latency.
897564 records sent, 179512.8 records/sec (21.91 MB/sec), 288.6 ms avg latency, 1152.0 max latency.
927847 records sent, 183804.9 records/sec (22.44 MB/sec), 261.4 ms avg latency, 1244.0 max latency.
948052 records sent, 189610.4 records/sec (23.15 MB/sec), 277.6 ms avg latency, 1171.0 max latency.
952475 records sent, 188273.4 records/sec (22.98 MB/sec), 264.4 ms avg latency, 755.0 max latency.
963926 records sent, 191711.6 records/sec (23.40 MB/sec), 263.0 ms avg latency, 854.0 max latency.
930130 records sent, 186026.0 records/sec (22.71 MB/sec), 279.9 ms avg latency, 968.0 max latency.
909243 records sent, 181268.5 records/sec (22.13 MB/sec), 269.0 ms avg latency, 819.0 max latency.
944100 records sent, 188706.8 records/sec (23.04 MB/sec), 263.0 ms avg latency, 832.0 max latency.
956509 records sent, 191301.8 records/sec (23.35 MB/sec), 267.0 ms avg latency, 1101.0 max latency.
933833 records sent, 186766.6 records/sec (22.80 MB/sec), 263.9 ms avg latency, 1068.0 max latency.
950255 records sent, 189861.1 records/sec (23.18 MB/sec), 258.7 ms avg latency, 959.0 max latency.
956190 records sent, 191238.0 records/sec (23.34 MB/sec), 275.5 ms avg latency, 989.0 max latency.
940742 records sent, 188148.4 records/sec (22.97 MB/sec), 263.7 ms avg latency, 1038.0 max latency.
971586 records sent, 191823.5 records/sec (23.42 MB/sec), 263.9 ms avg latency, 874.0 max latency.
951081 records sent, 189609.4 records/sec (23.15 MB/sec), 255.8 ms avg latency, 775.0 max latency.
968370 records sent, 192748.8 records/sec (23.53 MB/sec), 264.4 ms avg latency, 814.0 max latency.
992698 records sent, 197945.8 records/sec (24.16 MB/sec), 256.2 ms avg latency, 879.0 max latency.
1000505 records sent, 198434.2 records/sec (24.22 MB/sec), 245.8 ms avg latency, 877.0 max latency.
1000870 records sent, 200174.0 records/sec (24.44 MB/sec), 254.6 ms avg latency, 772.0 max latency.
970476 records sent, 192478.4 records/sec (23.50 MB/sec), 261.3 ms avg latency, 889.0 max latency.
942613 records sent, 187659.4 records/sec (22.91 MB/sec), 252.5 ms avg latency, 1372.0 max latency.
952464 records sent, 190492.8 records/sec (23.25 MB/sec), 276.5 ms avg latency, 1221.0 max latency.
945606 records sent, 189007.8 records/sec (23.07 MB/sec), 261.5 ms avg latency, 984.0 max latency.
190000000 records sent, 190199.328897 records/sec (23.22 MB/sec), 263.66 ms avg latency, 1557.00 ms max latency, 125 ms 50th, 518 ms 95th, 743 ms 99th, 1053 ms 99.9th.
bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=8192
1164579 records sent, 232358.1 records/sec (28.36 MB/sec), 192.7 ms avg latency, 623.0 max latency.
1070825 records sent, 213269.3 records/sec (26.03 MB/sec), 238.7 ms avg latency, 992.0 max latency.
1154579 records sent, 230915.8 records/sec (28.19 MB/sec), 214.7 ms avg latency, 754.0 max latency.
930356 records sent, 186071.2 records/sec (22.71 MB/sec), 255.6 ms avg latency, 1096.0 max latency.
981422 records sent, 195697.3 records/sec (23.89 MB/sec), 274.7 ms avg latency, 1132.0 max latency.
997604 records sent, 198252.0 records/sec (24.20 MB/sec), 248.7 ms avg latency, 823.0 max latency.
987807 records sent, 197561.4 records/sec (24.12 MB/sec), 256.0 ms avg latency, 880.0 max latency.
991796 records sent, 198081.9 records/sec (24.18 MB/sec), 245.1 ms avg latency, 950.0 max latency.
939104 records sent, 187820.8 records/sec (22.93 MB/sec), 266.3 ms avg latency, 1165.0 max latency.
986559 records sent, 197035.9 records/sec (24.05 MB/sec), 255.9 ms avg latency, 1203.0 max latency.
967770 records sent, 192399.6 records/sec (23.49 MB/sec), 274.4 ms avg latency, 1071.0 max latency.
997680 records sent, 199058.3 records/sec (24.30 MB/sec), 248.3 ms avg latency, 769.0 max latency.
990336 records sent, 198067.2 records/sec (24.18 MB/sec), 250.6 ms avg latency, 972.0 max latency.
998631 records sent, 199726.2 records/sec (24.38 MB/sec), 255.3 ms avg latency, 905.0 max latency.
999145 records sent, 198085.8 records/sec (24.18 MB/sec), 262.1 ms avg latency, 918.0 max latency.
949334 records sent, 188959.8 records/sec (23.07 MB/sec), 254.4 ms avg latency, 868.0 max latency.
1006023 records sent, 201204.6 records/sec (24.56 MB/sec), 263.5 ms avg latency, 906.0 max latency.
965921 records sent, 192721.7 records/sec (23.53 MB/sec), 257.0 ms avg latency, 838.0 max latency.
995570 records sent, 198399.8 records/sec (24.22 MB/sec), 257.4 ms avg latency, 935.0 max latency.
996036 records sent, 198532.2 records/sec (24.23 MB/sec), 249.5 ms avg latency, 886.0 max latency.
913025 records sent, 182605.0 records/sec (22.29 MB/sec), 277.9 ms avg latency, 920.0 max latency.
974406 records sent, 194881.2 records/sec (23.79 MB/sec), 260.6 ms avg latency, 1297.0 max latency.
983592 records sent, 196718.4 records/sec (24.01 MB/sec), 255.7 ms avg latency, 1222.0 max latency.
1005542 records sent, 201108.4 records/sec (24.55 MB/sec), 247.4 ms avg latency, 819.0 max latency.
991340 records sent, 197990.8 records/sec (24.17 MB/sec), 260.3 ms avg latency, 748.0 max latency.
969847 records sent, 193969.4 records/sec (23.68 MB/sec), 245.7 ms avg latency, 886.0 max latency.
997425 records sent, 198453.0 records/sec (24.23 MB/sec), 265.4 ms avg latency, 959.0 max latency.
993250 records sent, 197543.8 records/sec (24.11 MB/sec), 251.5 ms avg latency, 966.0 max latency.
938082 records sent, 186645.8 records/sec (22.78 MB/sec), 257.3 ms avg latency, 1049.0 max latency.
995607 records sent, 199121.4 records/sec (24.31 MB/sec), 270.8 ms avg latency, 833.0 max latency.
981651 records sent, 194888.0 records/sec (23.79 MB/sec), 251.1 ms avg latency, 690.0 max latency.
1023397 records sent, 204679.4 records/sec (24.99 MB/sec), 243.6 ms avg latency, 766.0 max latency.
988998 records sent, 197799.6 records/sec (24.15 MB/sec), 261.2 ms avg latency, 882.0 max latency.
995076 records sent, 199015.2 records/sec (24.29 MB/sec), 252.3 ms avg latency, 970.0 max latency.
935911 records sent, 187182.2 records/sec (22.85 MB/sec), 267.4 ms avg latency, 998.0 max latency.
949428 records sent, 188828.2 records/sec (23.05 MB/sec), 264.5 ms avg latency, 900.0 max latency.
964147 records sent, 192252.6 records/sec (23.47 MB/sec), 263.8 ms avg latency, 1027.0 max latency.
896440 records sent, 179288.0 records/sec (21.89 MB/sec), 276.4 ms avg latency, 1031.0 max latency.
1005175 records sent, 201035.0 records/sec (24.54 MB/sec), 264.3 ms avg latency, 882.0 max latency.
945274 records sent, 188790.5 records/sec (23.05 MB/sec), 258.2 ms avg latency, 854.0 max latency.
983673 records sent, 196734.6 records/sec (24.02 MB/sec), 256.2 ms avg latency, 862.0 max latency.
932872 records sent, 186574.4 records/sec (22.78 MB/sec), 265.8 ms avg latency, 1172.0 max latency.
997137 records sent, 198356.3 records/sec (24.21 MB/sec), 260.0 ms avg latency, 954.0 max latency.
995274 records sent, 199054.8 records/sec (24.30 MB/sec), 253.0 ms avg latency, 821.0 max latency.
999907 records sent, 198788.7 records/sec (24.27 MB/sec), 250.4 ms avg latency, 830.0 max latency.
1015937 records sent, 202620.1 records/sec (24.73 MB/sec), 252.9 ms avg latency, 1052.0 max latency.
979251 records sent, 195850.2 records/sec (23.91 MB/sec), 256.6 ms avg latency, 929.0 max latency.
972366 records sent, 194473.2 records/sec (23.74 MB/sec), 262.0 ms avg latency, 758.0 max latency.
938232 records sent, 187646.4 records/sec (22.91 MB/sec), 268.0 ms avg latency, 838.0 max latency.
958497 records sent, 191699.4 records/sec (23.40 MB/sec), 265.6 ms avg latency, 1014.0 max latency.
941240 records sent, 188248.0 records/sec (22.98 MB/sec), 259.0 ms avg latency, 1038.0 max latency.
907166 records sent, 180674.4 records/sec (22.05 MB/sec), 284.3 ms avg latency, 1095.0 max latency.
1000793 records sent, 198137.6 records/sec (24.19 MB/sec), 257.6 ms avg latency, 820.0 max latency.
964038 records sent, 191886.5 records/sec (23.42 MB/sec), 256.9 ms avg latency, 829.0 max latency.
971946 records sent, 193422.1 records/sec (23.61 MB/sec), 267.8 ms avg latency, 957.0 max latency.
956352 records sent, 190470.4 records/sec (23.25 MB/sec), 264.1 ms avg latency, 896.0 max latency.
1008576 records sent, 201312.6 records/sec (24.57 MB/sec), 242.1 ms avg latency, 838.0 max latency.
952889 records sent, 190273.4 records/sec (23.23 MB/sec), 267.1 ms avg latency, 943.0 max latency.
925563 records sent, 185112.6 records/sec (22.60 MB/sec), 272.5 ms avg latency, 918.0 max latency.
991320 records sent, 198264.0 records/sec (24.20 MB/sec), 256.5 ms avg latency, 913.0 max latency.
930655 records sent, 186131.0 records/sec (22.72 MB/sec), 271.6 ms avg latency, 1032.0 max latency.
