bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=4096
1005295 records sent, 198048.7 records/sec (24.18 MB/sec), 225.7 ms avg latency, 826.0 max latency.
934848 records sent, 185522.5 records/sec (22.65 MB/sec), 274.0 ms avg latency, 1135.0 max latency.
934332 records sent, 185936.7 records/sec (22.70 MB/sec), 271.8 ms avg latency, 1156.0 max latency.
872725 records sent, 174545.0 records/sec (21.31 MB/sec), 277.5 ms avg latency, 1164.0 max latency.
937992 records sent, 187523.4 records/sec (22.89 MB/sec), 275.4 ms avg latency, 1100.0 max latency.
936831 records sent, 187328.7 records/sec (22.87 MB/sec), 273.4 ms avg latency, 1059.0 max latency.
945546 records sent, 189109.2 records/sec (23.08 MB/sec), 262.4 ms avg latency, 908.0 max latency.
965200 records sent, 192424.2 records/sec (23.49 MB/sec), 261.5 ms avg latency, 865.0 max latency.
938760 records sent, 187752.0 records/sec (22.92 MB/sec), 264.2 ms avg latency, 991.0 max latency.
925888 records sent, 185177.6 records/sec (22.60 MB/sec), 274.5 ms avg latency, 997.0 max latency.
937602 records sent, 186069.1 records/sec (22.71 MB/sec), 265.9 ms avg latency, 904.0 max latency.
919856 records sent, 182438.7 records/sec (22.27 MB/sec), 277.9 ms avg latency, 962.0 max latency.
920291 records sent, 184058.2 records/sec (22.47 MB/sec), 268.4 ms avg latency, 1089.0 max latency.
932336 records sent, 186467.2 records/sec (22.76 MB/sec), 271.2 ms avg latency, 1061.0 max latency.
933163 records sent, 186632.6 records/sec (22.78 MB/sec), 266.0 ms avg latency, 968.0 max latency.
931526 records sent, 185636.9 records/sec (22.66 MB/sec), 272.4 ms avg latency, 1067.0 max latency.
919341 records sent, 183868.2 records/sec (22.44 MB/sec), 273.7 ms avg latency, 1137.0 max latency.
933225 records sent, 186645.0 records/sec (22.78 MB/sec), 263.8 ms avg latency, 1068.0 max latency.
933732 records sent, 186039.5 records/sec (22.71 MB/sec), 270.3 ms avg latency, 1006.0 max latency.
927089 records sent, 184019.3 records/sec (22.46 MB/sec), 273.4 ms avg latency, 997.0 max latency.
927848 records sent, 185569.6 records/sec (22.65 MB/sec), 267.5 ms avg latency, 996.0 max latency.
950037 records sent, 189817.6 records/sec (23.17 MB/sec), 267.2 ms avg latency, 911.0 max latency.
949232 records sent, 189203.1 records/sec (23.10 MB/sec), 262.1 ms avg latency, 929.0 max latency.
950083 records sent, 189561.7 records/sec (23.14 MB/sec), 263.1 ms avg latency, 931.0 max latency.
945669 records sent, 189133.8 records/sec (23.09 MB/sec), 267.3 ms avg latency, 1031.0 max latency.
931620 records sent, 186324.0 records/sec (22.74 MB/sec), 270.2 ms avg latency, 902.0 max latency.
938471 records sent, 187694.2 records/sec (22.91 MB/sec), 266.1 ms avg latency, 1022.0 max latency.
877629 records sent, 175525.8 records/sec (21.43 MB/sec), 278.9 ms avg latency, 1331.0 max latency.
954796 records sent, 190959.2 records/sec (23.31 MB/sec), 278.2 ms avg latency, 1089.0 max latency.
935338 records sent, 186508.1 records/sec (22.77 MB/sec), 252.2 ms avg latency, 1130.0 max latency.
911850 records sent, 182370.0 records/sec (22.26 MB/sec), 279.0 ms avg latency, 1078.0 max latency.
924035 records sent, 184807.0 records/sec (22.56 MB/sec), 273.9 ms avg latency, 940.0 max latency.
928745 records sent, 185749.0 records/sec (22.67 MB/sec), 275.4 ms avg latency, 1004.0 max latency.
[2015-03-20 05:39:40,318] WARN Error in I/O with ec2-54-69-78-228.us-west-2.compute.amazonaws.com/172.30.0.102 (org.apache.kafka.common.network.Selector)
java.io.EOFException
	at org.apache.kafka.common.network.NetworkReceive.readFrom(NetworkReceive.java:62)
	at org.apache.kafka.common.network.Selector.poll(Selector.java:248)
	at org.apache.kafka.clients.NetworkClient.poll(NetworkClient.java:192)
	at org.apache.kafka.clients.producer.internals.Sender.run(Sender.java:191)
	at org.apache.kafka.clients.producer.internals.Sender.run(Sender.java:122)
	at java.lang.Thread.run(Thread.java:745)
929430 records sent, 183718.1 records/sec (22.43 MB/sec), 263.9 ms avg latency, 1125.0 max latency.
962576 records sent, 190082.1 records/sec (23.20 MB/sec), 268.6 ms avg latency, 938.0 max latency.
931157 records sent, 186231.4 records/sec (22.73 MB/sec), 266.1 ms avg latency, 897.0 max latency.
939328 records sent, 187828.0 records/sec (22.93 MB/sec), 272.5 ms avg latency, 900.0 max latency.
930661 records sent, 185797.8 records/sec (22.68 MB/sec), 271.8 ms avg latency, 854.0 max latency.
993638 records sent, 197424.6 records/sec (24.10 MB/sec), 252.5 ms avg latency, 863.0 max latency.
921885 records sent, 184377.0 records/sec (22.51 MB/sec), 264.1 ms avg latency, 1086.0 max latency.
963268 records sent, 192653.6 records/sec (23.52 MB/sec), 270.4 ms avg latency, 1011.0 max latency.
944100 records sent, 187955.4 records/sec (22.94 MB/sec), 261.1 ms avg latency, 1025.0 max latency.
925746 records sent, 185149.2 records/sec (22.60 MB/sec), 267.6 ms avg latency, 1129.0 max latency.
939958 records sent, 187991.6 records/sec (22.95 MB/sec), 272.9 ms avg latency, 1146.0 max latency.
910432 records sent, 182086.4 records/sec (22.23 MB/sec), 263.2 ms avg latency, 968.0 max latency.
914985 records sent, 182997.0 records/sec (22.34 MB/sec), 286.8 ms avg latency, 1197.0 max latency.
911954 records sent, 182390.8 records/sec (22.26 MB/sec), 269.7 ms avg latency, 848.0 max latency.
951302 records sent, 189088.1 records/sec (23.08 MB/sec), 268.1 ms avg latency, 902.0 max latency.
990777 records sent, 198155.4 records/sec (24.19 MB/sec), 256.5 ms avg latency, 965.0 max latency.
906154 records sent, 180652.7 records/sec (22.05 MB/sec), 281.5 ms avg latency, 998.0 max latency.
928991 records sent, 185798.2 records/sec (22.68 MB/sec), 271.3 ms avg latency, 828.0 max latency.
951757 records sent, 188915.6 records/sec (23.06 MB/sec), 258.7 ms avg latency, 731.0 max latency.
937511 records sent, 186829.6 records/sec (22.81 MB/sec), 253.7 ms avg latency, 1066.0 max latency.
920110 records sent, 182924.5 records/sec (22.33 MB/sec), 282.0 ms avg latency, 1081.0 max latency.
913287 records sent, 182657.4 records/sec (22.30 MB/sec), 283.4 ms avg latency, 1059.0 max latency.
950837 records sent, 187394.0 records/sec (22.88 MB/sec), 264.6 ms avg latency, 781.0 max latency.
899504 records sent, 179005.8 records/sec (21.85 MB/sec), 264.2 ms avg latency, 1090.0 max latency.
885548 records sent, 175356.0 records/sec (21.41 MB/sec), 302.5 ms avg latency, 1321.0 max latency.
942678 records sent, 188535.6 records/sec (23.01 MB/sec), 264.9 ms avg latency, 940.0 max latency.
959109 records sent, 191515.4 records/sec (23.38 MB/sec), 262.3 ms avg latency, 762.0 max latency.
940769 records sent, 188078.6 records/sec (22.96 MB/sec), 260.0 ms avg latency, 1033.0 max latency.
946119 records sent, 188545.0 records/sec (23.02 MB/sec), 260.2 ms avg latency, 1151.0 max latency.
953146 records sent, 190096.9 records/sec (23.21 MB/sec), 267.1 ms avg latency, 1094.0 max latency.
871935 records sent, 173278.0 records/sec (21.15 MB/sec), 281.2 ms avg latency, 1267.0 max latency.
931913 records sent, 185123.8 records/sec (22.60 MB/sec), 276.9 ms avg latency, 1141.0 max latency.
932178 records sent, 186435.6 records/sec (22.76 MB/sec), 273.8 ms avg latency, 1112.0 max latency.
963811 records sent, 192723.7 records/sec (23.53 MB/sec), 260.9 ms avg latency, 788.0 max latency.
965078 records sent, 193015.6 records/sec (23.56 MB/sec), 259.5 ms avg latency, 758.0 max latency.
984142 records sent, 196239.7 records/sec (23.96 MB/sec), 254.7 ms avg latency, 852.0 max latency.
964738 records sent, 192947.6 records/sec (23.55 MB/sec), 263.8 ms avg latency, 867.0 max latency.
923151 records sent, 184630.2 records/sec (22.54 MB/sec), 270.7 ms avg latency, 1017.0 max latency.
1001303 records sent, 199264.3 records/sec (24.32 MB/sec), 255.2 ms avg latency, 795.0 max latency.
949301 records sent, 188353.4 records/sec (22.99 MB/sec), 259.4 ms avg latency, 1005.0 max latency.
946230 records sent, 189246.0 records/sec (23.10 MB/sec), 264.1 ms avg latency, 1069.0 max latency.
972207 records sent, 194441.4 records/sec (23.74 MB/sec), 261.6 ms avg latency, 1012.0 max latency.
921227 records sent, 183694.3 records/sec (22.42 MB/sec), 277.5 ms avg latency, 957.0 max latency.
895584 records sent, 179116.8 records/sec (21.86 MB/sec), 279.9 ms avg latency, 1124.0 max latency.
948778 records sent, 188063.0 records/sec (22.96 MB/sec), 257.3 ms avg latency, 776.0 max latency.
987676 records sent, 196162.1 records/sec (23.95 MB/sec), 261.7 ms avg latency, 855.0 max latency.
928360 records sent, 184932.3 records/sec (22.57 MB/sec), 265.6 ms avg latency, 962.0 max latency.
945228 records sent, 188442.6 records/sec (23.00 MB/sec), 268.3 ms avg latency, 972.0 max latency.
923815 records sent, 183260.3 records/sec (22.37 MB/sec), 269.1 ms avg latency, 948.0 max latency.
971645 records sent, 193593.3 records/sec (23.63 MB/sec), 260.5 ms avg latency, 1193.0 max latency.
954080 records sent, 190816.0 records/sec (23.29 MB/sec), 271.6 ms avg latency, 989.0 max latency.
941767 records sent, 188353.4 records/sec (22.99 MB/sec), 260.2 ms avg latency, 783.0 max latency.
949964 records sent, 189992.8 records/sec (23.19 MB/sec), 267.0 ms avg latency, 896.0 max latency.
941443 records sent, 188213.3 records/sec (22.98 MB/sec), 267.1 ms avg latency, 1034.0 max latency.
904403 records sent, 179801.8 records/sec (21.95 MB/sec), 265.2 ms avg latency, 1127.0 max latency.
958005 records sent, 186964.3 records/sec (22.82 MB/sec), 268.6 ms avg latency, 1140.0 max latency.
972097 records sent, 194419.4 records/sec (23.73 MB/sec), 262.9 ms avg latency, 1090.0 max latency.
951322 records sent, 190264.4 records/sec (23.23 MB/sec), 272.8 ms avg latency, 1124.0 max latency.
937160 records sent, 187432.0 records/sec (22.88 MB/sec), 263.2 ms avg latency, 974.0 max latency.
972240 records sent, 194448.0 records/sec (23.74 MB/sec), 261.8 ms avg latency, 1227.0 max latency.
970225 records sent, 194045.0 records/sec (23.69 MB/sec), 263.0 ms avg latency, 796.0 max latency.
931205 records sent, 186241.0 records/sec (22.73 MB/sec), 268.8 ms avg latency, 910.0 max latency.
916955 records sent, 183244.4 records/sec (22.37 MB/sec), 262.5 ms avg latency, 960.0 max latency.
904638 records sent, 180927.6 records/sec (22.09 MB/sec), 280.8 ms avg latency, 955.0 max latency.
974094 records sent, 192889.9 records/sec (23.55 MB/sec), 262.9 ms avg latency, 833.0 max latency.
926977 records sent, 185395.4 records/sec (22.63 MB/sec), 260.1 ms avg latency, 1168.0 max latency.
922799 records sent, 183568.5 records/sec (22.41 MB/sec), 275.2 ms avg latency, 1072.0 max latency.
958590 records sent, 191718.0 records/sec (23.40 MB/sec), 264.4 ms avg latency, 985.0 max latency.
925441 records sent, 184645.1 records/sec (22.54 MB/sec), 274.1 ms avg latency, 967.0 max latency.
943968 records sent, 188793.6 records/sec (23.05 MB/sec), 269.0 ms avg latency, 984.0 max latency.
903787 records sent, 180757.4 records/sec (22.07 MB/sec), 270.8 ms avg latency, 1103.0 max latency.
931837 records sent, 185772.9 records/sec (22.68 MB/sec), 272.5 ms avg latency, 926.0 max latency.
955593 records sent, 191118.6 records/sec (23.33 MB/sec), 265.8 ms avg latency, 813.0 max latency.
953502 records sent, 190700.4 records/sec (23.28 MB/sec), 266.9 ms avg latency, 815.0 max latency.
932482 records sent, 186496.4 records/sec (22.77 MB/sec), 265.7 ms avg latency, 876.0 max latency.
985613 records sent, 195946.9 records/sec (23.92 MB/sec), 253.6 ms avg latency, 879.0 max latency.
892713 records sent, 178542.6 records/sec (21.79 MB/sec), 277.5 ms avg latency, 1095.0 max latency.
995026 records sent, 195678.7 records/sec (23.89 MB/sec), 260.3 ms avg latency, 924.0 max latency.
839000 records sent, 167431.7 records/sec (20.44 MB/sec), 297.9 ms avg latency, 1457.0 max latency.
931651 records sent, 186069.7 records/sec (22.71 MB/sec), 254.1 ms avg latency, 1007.0 max latency.
1052475 records sent, 210495.0 records/sec (25.70 MB/sec), 255.0 ms avg latency, 1071.0 max latency.
843732 records sent, 168107.6 records/sec (20.52 MB/sec), 269.7 ms avg latency, 1452.0 max latency.
671857 records sent, 134371.4 records/sec (16.40 MB/sec), 394.5 ms avg latency, 1449.0 max latency.
190000000 records sent, 187342.545985 records/sec (22.87 MB/sec), 267.32 ms avg latency, 1541.00 ms max latency, 410 ms 50th, 882 ms 95th, 1044 ms 99th, 1235 ms 99.9th.
bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=8192
928301 records sent, 185660.2 records/sec (22.66 MB/sec), 229.6 ms avg latency, 1157.0 max latency.
904594 records sent, 177964.6 records/sec (21.72 MB/sec), 289.6 ms avg latency, 1163.0 max latency.
919614 records sent, 183445.8 records/sec (22.39 MB/sec), 269.8 ms avg latency, 868.0 max latency.
905729 records sent, 179565.6 records/sec (21.92 MB/sec), 277.2 ms avg latency, 920.0 max latency.
904342 records sent, 179932.7 records/sec (21.96 MB/sec), 264.6 ms avg latency, 1095.0 max latency.
967274 records sent, 192876.2 records/sec (23.54 MB/sec), 262.5 ms avg latency, 1164.0 max latency.
884983 records sent, 175522.2 records/sec (21.43 MB/sec), 282.9 ms avg latency, 1286.0 max latency.
936130 records sent, 186666.0 records/sec (22.79 MB/sec), 285.9 ms avg latency, 1119.0 max latency.
942060 records sent, 188412.0 records/sec (23.00 MB/sec), 260.4 ms avg latency, 799.0 max latency.
940847 records sent, 187606.6 records/sec (22.90 MB/sec), 269.0 ms avg latency, 1192.0 max latency.
909677 records sent, 181246.7 records/sec (22.12 MB/sec), 266.8 ms avg latency, 1044.0 max latency.
943577 records sent, 186921.0 records/sec (22.82 MB/sec), 280.4 ms avg latency, 1068.0 max latency.
956209 records sent, 191127.1 records/sec (23.33 MB/sec), 262.1 ms avg latency, 901.0 max latency.
903124 records sent, 178730.3 records/sec (21.82 MB/sec), 271.8 ms avg latency, 1064.0 max latency.
931401 records sent, 185686.0 records/sec (22.67 MB/sec), 275.3 ms avg latency, 893.0 max latency.
896041 records sent, 178245.7 records/sec (21.76 MB/sec), 273.2 ms avg latency, 937.0 max latency.
883098 records sent, 176478.4 records/sec (21.54 MB/sec), 283.8 ms avg latency, 1155.0 max latency.
968985 records sent, 193797.0 records/sec (23.66 MB/sec), 268.8 ms avg latency, 912.0 max latency.
881440 records sent, 176182.3 records/sec (21.51 MB/sec), 277.1 ms avg latency, 999.0 max latency.
980159 records sent, 195718.7 records/sec (23.89 MB/sec), 256.1 ms avg latency, 968.0 max latency.
925472 records sent, 185094.4 records/sec (22.59 MB/sec), 271.5 ms avg latency, 846.0 max latency.
921099 records sent, 184219.8 records/sec (22.49 MB/sec), 266.1 ms avg latency, 866.0 max latency.
954007 records sent, 189287.1 records/sec (23.11 MB/sec), 258.8 ms avg latency, 973.0 max latency.
906521 records sent, 180617.9 records/sec (22.05 MB/sec), 274.2 ms avg latency, 1195.0 max latency.
942003 records sent, 188400.6 records/sec (23.00 MB/sec), 266.3 ms avg latency, 1041.0 max latency.
958649 records sent, 191729.8 records/sec (23.40 MB/sec), 259.1 ms avg latency, 965.0 max latency.
925918 records sent, 184777.1 records/sec (22.56 MB/sec), 271.2 ms avg latency, 943.0 max latency.
936357 records sent, 187271.4 records/sec (22.86 MB/sec), 269.9 ms avg latency, 870.0 max latency.
880044 records sent, 175727.6 records/sec (21.45 MB/sec), 285.3 ms avg latency, 871.0 max latency.
843682 records sent, 168736.4 records/sec (20.60 MB/sec), 301.7 ms avg latency, 1251.0 max latency.
882892 records sent, 176578.4 records/sec (21.55 MB/sec), 274.4 ms avg latency, 1050.0 max latency.
935206 records sent, 187041.2 records/sec (22.83 MB/sec), 271.7 ms avg latency, 1053.0 max latency.
941868 records sent, 188298.3 records/sec (22.99 MB/sec), 266.2 ms avg latency, 823.0 max latency.
887474 records sent, 176401.1 records/sec (21.53 MB/sec), 279.6 ms avg latency, 1227.0 max latency.
922258 records sent, 183096.7 records/sec (22.35 MB/sec), 277.1 ms avg latency, 1047.0 max latency.
896635 records sent, 176851.1 records/sec (21.59 MB/sec), 283.4 ms avg latency, 890.0 max latency.
870566 records sent, 173281.4 records/sec (21.15 MB/sec), 293.7 ms avg latency, 942.0 max latency.
932327 records sent, 185390.1 records/sec (22.63 MB/sec), 266.4 ms avg latency, 1041.0 max latency.
867317 records sent, 172086.7 records/sec (21.01 MB/sec), 279.3 ms avg latency, 1288.0 max latency.
892594 records sent, 177595.3 records/sec (21.68 MB/sec), 294.0 ms avg latency, 1181.0 max latency.
887354 records sent, 176728.5 records/sec (21.57 MB/sec), 285.7 ms avg latency, 850.0 max latency.
908519 records sent, 180799.8 records/sec (22.07 MB/sec), 273.5 ms avg latency, 831.0 max latency.
855009 records sent, 169208.2 records/sec (20.66 MB/sec), 298.2 ms avg latency, 1065.0 max latency.
982445 records sent, 195706.2 records/sec (23.89 MB/sec), 256.1 ms avg latency, 750.0 max latency.
916385 records sent, 182801.7 records/sec (22.31 MB/sec), 272.5 ms avg latency, 768.0 max latency.
980608 records sent, 196121.6 records/sec (23.94 MB/sec), 253.0 ms avg latency, 758.0 max latency.
917394 records sent, 183478.8 records/sec (22.40 MB/sec), 277.9 ms avg latency, 1027.0 max latency.
928027 records sent, 185605.4 records/sec (22.66 MB/sec), 259.9 ms avg latency, 1102.0 max latency.
921203 records sent, 183652.9 records/sec (22.42 MB/sec), 276.2 ms avg latency, 1099.0 max latency.
940109 records sent, 187796.4 records/sec (22.92 MB/sec), 264.5 ms avg latency, 817.0 max latency.
903487 records sent, 180444.8 records/sec (22.03 MB/sec), 280.9 ms avg latency, 865.0 max latency.
