bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=4096
1234590 records sent, 246523.6 records/sec (30.09 MB/sec), 174.6 ms avg latency, 804.0 max latency.
959958 records sent, 190203.7 records/sec (23.22 MB/sec), 246.1 ms avg latency, 995.0 max latency.
944258 records sent, 188851.6 records/sec (23.05 MB/sec), 270.9 ms avg latency, 1062.0 max latency.
955058 records sent, 190897.1 records/sec (23.30 MB/sec), 258.4 ms avg latency, 867.0 max latency.
992234 records sent, 198446.8 records/sec (24.22 MB/sec), 255.1 ms avg latency, 925.0 max latency.
975801 records sent, 195160.2 records/sec (23.82 MB/sec), 257.2 ms avg latency, 870.0 max latency.
1015601 records sent, 202109.7 records/sec (24.67 MB/sec), 257.7 ms avg latency, 886.0 max latency.
948151 records sent, 188461.7 records/sec (23.01 MB/sec), 265.3 ms avg latency, 1219.0 max latency.
959438 records sent, 191887.6 records/sec (23.42 MB/sec), 264.1 ms avg latency, 982.0 max latency.
999951 records sent, 199990.2 records/sec (24.41 MB/sec), 253.5 ms avg latency, 970.0 max latency.
968328 records sent, 192357.6 records/sec (23.48 MB/sec), 254.9 ms avg latency, 1077.0 max latency.
981265 records sent, 191915.7 records/sec (23.43 MB/sec), 255.9 ms avg latency, 973.0 max latency.
945354 records sent, 188580.5 records/sec (23.02 MB/sec), 268.6 ms avg latency, 1197.0 max latency.
978430 records sent, 195686.0 records/sec (23.89 MB/sec), 265.8 ms avg latency, 1107.0 max latency.
944650 records sent, 186763.5 records/sec (22.80 MB/sec), 264.1 ms avg latency, 986.0 max latency.
956140 records sent, 188402.0 records/sec (23.00 MB/sec), 266.5 ms avg latency, 810.0 max latency.
970053 records sent, 191520.8 records/sec (23.38 MB/sec), 261.7 ms avg latency, 801.0 max latency.
990184 records sent, 196894.8 records/sec (24.04 MB/sec), 258.2 ms avg latency, 777.0 max latency.
954230 records sent, 190846.0 records/sec (23.30 MB/sec), 262.8 ms avg latency, 798.0 max latency.
925072 records sent, 183582.5 records/sec (22.41 MB/sec), 262.7 ms avg latency, 1030.0 max latency.
900067 records sent, 179224.8 records/sec (21.88 MB/sec), 281.6 ms avg latency, 1096.0 max latency.
948302 records sent, 188005.9 records/sec (22.95 MB/sec), 264.7 ms avg latency, 985.0 max latency.
939248 records sent, 187849.6 records/sec (22.93 MB/sec), 271.4 ms avg latency, 991.0 max latency.
921514 records sent, 183714.9 records/sec (22.43 MB/sec), 272.4 ms avg latency, 893.0 max latency.
934341 records sent, 186830.8 records/sec (22.81 MB/sec), 273.1 ms avg latency, 816.0 max latency.
963092 records sent, 192310.7 records/sec (23.48 MB/sec), 263.0 ms avg latency, 963.0 max latency.
979430 records sent, 194717.7 records/sec (23.77 MB/sec), 259.1 ms avg latency, 818.0 max latency.
959117 records sent, 190074.7 records/sec (23.20 MB/sec), 263.6 ms avg latency, 854.0 max latency.
967062 records sent, 190892.6 records/sec (23.30 MB/sec), 263.1 ms avg latency, 821.0 max latency.
964533 records sent, 191641.8 records/sec (23.39 MB/sec), 265.9 ms avg latency, 916.0 max latency.
952634 records sent, 190526.8 records/sec (23.26 MB/sec), 267.5 ms avg latency, 946.0 max latency.
936256 records sent, 185067.4 records/sec (22.59 MB/sec), 265.5 ms avg latency, 818.0 max latency.
920327 records sent, 184065.4 records/sec (22.47 MB/sec), 262.1 ms avg latency, 922.0 max latency.
939095 records sent, 187819.0 records/sec (22.93 MB/sec), 275.3 ms avg latency, 1011.0 max latency.
968451 records sent, 193690.2 records/sec (23.64 MB/sec), 253.4 ms avg latency, 964.0 max latency.
940755 records sent, 185699.8 records/sec (22.67 MB/sec), 270.7 ms avg latency, 1072.0 max latency.
965076 records sent, 191787.8 records/sec (23.41 MB/sec), 261.5 ms avg latency, 943.0 max latency.
925542 records sent, 184738.9 records/sec (22.55 MB/sec), 267.8 ms avg latency, 1030.0 max latency.
1002372 records sent, 200114.2 records/sec (24.43 MB/sec), 255.2 ms avg latency, 893.0 max latency.
937112 records sent, 185053.7 records/sec (22.59 MB/sec), 263.3 ms avg latency, 1129.0 max latency.
962392 records sent, 192478.4 records/sec (23.50 MB/sec), 272.9 ms avg latency, 1130.0 max latency.
964745 records sent, 192717.7 records/sec (23.53 MB/sec), 255.5 ms avg latency, 805.0 max latency.
959141 records sent, 190532.6 records/sec (23.26 MB/sec), 259.1 ms avg latency, 811.0 max latency.
1002721 records sent, 200544.2 records/sec (24.48 MB/sec), 260.9 ms avg latency, 810.0 max latency.
937689 records sent, 187163.5 records/sec (22.85 MB/sec), 264.8 ms avg latency, 1065.0 max latency.
947885 records sent, 187477.3 records/sec (22.89 MB/sec), 264.4 ms avg latency, 934.0 max latency.
952927 records sent, 187768.9 records/sec (22.92 MB/sec), 267.2 ms avg latency, 857.0 max latency.
978770 records sent, 194470.5 records/sec (23.74 MB/sec), 259.6 ms avg latency, 827.0 max latency.
908774 records sent, 181754.8 records/sec (22.19 MB/sec), 272.0 ms avg latency, 1080.0 max latency.
976303 records sent, 191958.9 records/sec (23.43 MB/sec), 266.2 ms avg latency, 1032.0 max latency.
960315 records sent, 191909.5 records/sec (23.43 MB/sec), 263.5 ms avg latency, 859.0 max latency.
957945 records sent, 191589.0 records/sec (23.39 MB/sec), 264.4 ms avg latency, 806.0 max latency.
956907 records sent, 191381.4 records/sec (23.36 MB/sec), 257.5 ms avg latency, 841.0 max latency.
930948 records sent, 186078.0 records/sec (22.71 MB/sec), 264.2 ms avg latency, 934.0 max latency.
894319 records sent, 177092.9 records/sec (21.62 MB/sec), 282.6 ms avg latency, 1113.0 max latency.
961752 records sent, 192043.1 records/sec (23.44 MB/sec), 267.6 ms avg latency, 996.0 max latency.
923576 records sent, 184604.4 records/sec (22.53 MB/sec), 258.5 ms avg latency, 863.0 max latency.
948676 records sent, 189318.7 records/sec (23.11 MB/sec), 271.2 ms avg latency, 1186.0 max latency.
942010 records sent, 188289.0 records/sec (22.98 MB/sec), 273.3 ms avg latency, 1097.0 max latency.
947340 records sent, 189430.1 records/sec (23.12 MB/sec), 259.0 ms avg latency, 1127.0 max latency.
911233 records sent, 180907.9 records/sec (22.08 MB/sec), 277.7 ms avg latency, 1147.0 max latency.
928103 records sent, 185620.6 records/sec (22.66 MB/sec), 276.7 ms avg latency, 988.0 max latency.
924302 records sent, 184860.4 records/sec (22.57 MB/sec), 264.3 ms avg latency, 923.0 max latency.
954965 records sent, 189590.0 records/sec (23.14 MB/sec), 263.0 ms avg latency, 884.0 max latency.
923968 records sent, 184793.6 records/sec (22.56 MB/sec), 274.2 ms avg latency, 1017.0 max latency.
929135 records sent, 185271.2 records/sec (22.62 MB/sec), 269.5 ms avg latency, 1041.0 max latency.
924653 records sent, 184930.6 records/sec (22.57 MB/sec), 268.3 ms avg latency, 1035.0 max latency.
962408 records sent, 190991.9 records/sec (23.31 MB/sec), 258.2 ms avg latency, 1009.0 max latency.
941765 records sent, 188202.4 records/sec (22.97 MB/sec), 268.9 ms avg latency, 1136.0 max latency.
931518 records sent, 186303.6 records/sec (22.74 MB/sec), 276.1 ms avg latency, 1131.0 max latency.
896760 records sent, 179352.0 records/sec (21.89 MB/sec), 269.6 ms avg latency, 1122.0 max latency.
923578 records sent, 184715.6 records/sec (22.55 MB/sec), 278.9 ms avg latency, 1161.0 max latency.
903604 records sent, 180720.8 records/sec (22.06 MB/sec), 280.7 ms avg latency, 1113.0 max latency.
943887 records sent, 188777.4 records/sec (23.04 MB/sec), 266.8 ms avg latency, 891.0 max latency.
933076 records sent, 186428.8 records/sec (22.76 MB/sec), 271.2 ms avg latency, 817.0 max latency.
945429 records sent, 188934.7 records/sec (23.06 MB/sec), 263.4 ms avg latency, 826.0 max latency.
941970 records sent, 188394.0 records/sec (23.00 MB/sec), 263.1 ms avg latency, 919.0 max latency.
953645 records sent, 190729.0 records/sec (23.28 MB/sec), 268.3 ms avg latency, 840.0 max latency.
944287 records sent, 188367.6 records/sec (22.99 MB/sec), 265.7 ms avg latency, 903.0 max latency.
952730 records sent, 190546.0 records/sec (23.26 MB/sec), 261.1 ms avg latency, 1028.0 max latency.
966875 records sent, 193375.0 records/sec (23.61 MB/sec), 260.3 ms avg latency, 922.0 max latency.
954868 records sent, 190859.1 records/sec (23.30 MB/sec), 265.7 ms avg latency, 946.0 max latency.
947235 records sent, 189447.0 records/sec (23.13 MB/sec), 264.5 ms avg latency, 902.0 max latency.
935873 records sent, 186987.6 records/sec (22.83 MB/sec), 263.3 ms avg latency, 895.0 max latency.
926590 records sent, 185318.0 records/sec (22.62 MB/sec), 273.0 ms avg latency, 1058.0 max latency.
942837 records sent, 188567.4 records/sec (23.02 MB/sec), 264.9 ms avg latency, 1048.0 max latency.
948992 records sent, 187993.7 records/sec (22.95 MB/sec), 268.7 ms avg latency, 926.0 max latency.
966742 records sent, 192501.4 records/sec (23.50 MB/sec), 264.9 ms avg latency, 917.0 max latency.
930738 records sent, 184304.6 records/sec (22.50 MB/sec), 263.6 ms avg latency, 954.0 max latency.
946801 records sent, 189360.2 records/sec (23.12 MB/sec), 268.5 ms avg latency, 971.0 max latency.
960206 records sent, 191811.0 records/sec (23.41 MB/sec), 266.5 ms avg latency, 907.0 max latency.
963636 records sent, 191844.7 records/sec (23.42 MB/sec), 262.3 ms avg latency, 881.0 max latency.
926038 records sent, 184396.3 records/sec (22.51 MB/sec), 263.6 ms avg latency, 837.0 max latency.
960406 records sent, 190859.7 records/sec (23.30 MB/sec), 267.1 ms avg latency, 965.0 max latency.
933390 records sent, 185306.7 records/sec (22.62 MB/sec), 265.1 ms avg latency, 1319.0 max latency.
933475 records sent, 184846.5 records/sec (22.56 MB/sec), 272.2 ms avg latency, 1083.0 max latency.
959155 records sent, 190611.1 records/sec (23.27 MB/sec), 262.9 ms avg latency, 1054.0 max latency.
917567 records sent, 183513.4 records/sec (22.40 MB/sec), 275.2 ms avg latency, 1008.0 max latency.
927827 records sent, 185232.0 records/sec (22.61 MB/sec), 272.3 ms avg latency, 868.0 max latency.
982939 records sent, 196430.7 records/sec (23.98 MB/sec), 262.1 ms avg latency, 842.0 max latency.
959760 records sent, 189413.9 records/sec (23.12 MB/sec), 254.4 ms avg latency, 1118.0 max latency.
935685 records sent, 184771.9 records/sec (22.56 MB/sec), 276.0 ms avg latency, 1063.0 max latency.
923395 records sent, 184679.0 records/sec (22.54 MB/sec), 270.0 ms avg latency, 892.0 max latency.
931676 records sent, 186335.2 records/sec (22.75 MB/sec), 276.1 ms avg latency, 875.0 max latency.
915107 records sent, 182619.6 records/sec (22.29 MB/sec), 275.1 ms avg latency, 936.0 max latency.
955656 records sent, 189878.0 records/sec (23.18 MB/sec), 264.7 ms avg latency, 925.0 max latency.
950396 records sent, 190079.2 records/sec (23.20 MB/sec), 256.2 ms avg latency, 1078.0 max latency.
939673 records sent, 187934.6 records/sec (22.94 MB/sec), 276.9 ms avg latency, 1013.0 max latency.
916388 records sent, 182402.1 records/sec (22.27 MB/sec), 268.4 ms avg latency, 919.0 max latency.
943434 records sent, 188686.8 records/sec (23.03 MB/sec), 267.1 ms avg latency, 1124.0 max latency.
953101 records sent, 190620.2 records/sec (23.27 MB/sec), 268.8 ms avg latency, 1148.0 max latency.
941074 records sent, 188214.8 records/sec (22.98 MB/sec), 253.4 ms avg latency, 928.0 max latency.
899185 records sent, 179837.0 records/sec (21.95 MB/sec), 293.0 ms avg latency, 1263.0 max latency.
900800 records sent, 180160.0 records/sec (21.99 MB/sec), 271.8 ms avg latency, 849.0 max latency.
940315 records sent, 186904.2 records/sec (22.82 MB/sec), 269.9 ms avg latency, 1031.0 max latency.
972353 records sent, 194470.6 records/sec (23.74 MB/sec), 263.8 ms avg latency, 1054.0 max latency.
925239 records sent, 184457.5 records/sec (22.52 MB/sec), 275.0 ms avg latency, 921.0 max latency.
958080 records sent, 191616.0 records/sec (23.39 MB/sec), 263.2 ms avg latency, 818.0 max latency.
950234 records sent, 188613.3 records/sec (23.02 MB/sec), 255.3 ms avg latency, 898.0 max latency.
977684 records sent, 194874.2 records/sec (23.79 MB/sec), 252.0 ms avg latency, 885.0 max latency.
944231 records sent, 187719.9 records/sec (22.92 MB/sec), 271.8 ms avg latency, 1066.0 max latency.
908645 records sent, 181149.3 records/sec (22.11 MB/sec), 281.5 ms avg latency, 1069.0 max latency.
961747 records sent, 190181.3 records/sec (23.22 MB/sec), 264.7 ms avg latency, 808.0 max latency.
912345 records sent, 181561.2 records/sec (22.16 MB/sec), 261.5 ms avg latency, 995.0 max latency.
897110 records sent, 177680.7 records/sec (21.69 MB/sec), 298.9 ms avg latency, 1298.0 max latency.
960572 records sent, 192114.4 records/sec (23.45 MB/sec), 259.1 ms avg latency, 924.0 max latency.
926191 records sent, 184942.3 records/sec (22.58 MB/sec), 273.7 ms avg latency, 849.0 max latency.
927055 records sent, 185336.9 records/sec (22.62 MB/sec), 264.1 ms avg latency, 1033.0 max latency.
948018 records sent, 188923.5 records/sec (23.06 MB/sec), 262.2 ms avg latency, 1151.0 max latency.
946758 records sent, 188822.9 records/sec (23.05 MB/sec), 270.7 ms avg latency, 1081.0 max latency.
895622 records sent, 177985.3 records/sec (21.73 MB/sec), 271.6 ms avg latency, 1228.0 max latency.
964980 records sent, 191692.5 records/sec (23.40 MB/sec), 269.3 ms avg latency, 1114.0 max latency.
924639 records sent, 182159.0 records/sec (22.24 MB/sec), 276.1 ms avg latency, 1117.0 max latency.
945330 records sent, 189066.0 records/sec (23.08 MB/sec), 272.5 ms avg latency, 834.0 max latency.
989842 records sent, 197612.7 records/sec (24.12 MB/sec), 256.8 ms avg latency, 753.0 max latency.
936112 records sent, 187222.4 records/sec (22.85 MB/sec), 267.4 ms avg latency, 760.0 max latency.
964835 records sent, 192428.2 records/sec (23.49 MB/sec), 254.4 ms avg latency, 752.0 max latency.
940347 records sent, 187320.1 records/sec (22.87 MB/sec), 268.0 ms avg latency, 899.0 max latency.
962426 records sent, 192485.2 records/sec (23.50 MB/sec), 264.3 ms avg latency, 806.0 max latency.
955755 records sent, 191151.0 records/sec (23.33 MB/sec), 259.8 ms avg latency, 893.0 max latency.
984924 records sent, 196984.8 records/sec (24.05 MB/sec), 256.8 ms avg latency, 972.0 max latency.
952496 records sent, 190499.2 records/sec (23.25 MB/sec), 262.1 ms avg latency, 1007.0 max latency.
927660 records sent, 183658.7 records/sec (22.42 MB/sec), 277.6 ms avg latency, 961.0 max latency.
924033 records sent, 184806.6 records/sec (22.56 MB/sec), 277.1 ms avg latency, 1080.0 max latency.
931505 records sent, 186301.0 records/sec (22.74 MB/sec), 263.2 ms avg latency, 788.0 max latency.
960458 records sent, 191784.7 records/sec (23.41 MB/sec), 256.5 ms avg latency, 847.0 max latency.
919870 records sent, 183241.0 records/sec (22.37 MB/sec), 273.6 ms avg latency, 1179.0 max latency.
970674 records sent, 193515.6 records/sec (23.62 MB/sec), 262.2 ms avg latency, 787.0 max latency.
917371 records sent, 181945.9 records/sec (22.21 MB/sec), 268.8 ms avg latency, 1184.0 max latency.
975642 records sent, 194389.7 records/sec (23.73 MB/sec), 262.5 ms avg latency, 1346.0 max latency.
936314 records sent, 187150.5 records/sec (22.85 MB/sec), 276.7 ms avg latency, 1026.0 max latency.
906366 records sent, 181273.2 records/sec (22.13 MB/sec), 272.4 ms avg latency, 887.0 max latency.
972899 records sent, 194579.8 records/sec (23.75 MB/sec), 262.0 ms avg latency, 799.0 max latency.
946251 records sent, 189250.2 records/sec (23.10 MB/sec), 264.5 ms avg latency, 1008.0 max latency.
907003 records sent, 180354.5 records/sec (22.02 MB/sec), 263.0 ms avg latency, 1118.0 max latency.
926166 records sent, 180750.6 records/sec (22.06 MB/sec), 282.2 ms avg latency, 1166.0 max latency.
947474 records sent, 189494.8 records/sec (23.13 MB/sec), 267.2 ms avg latency, 1100.0 max latency.
920501 records sent, 184100.2 records/sec (22.47 MB/sec), 279.8 ms avg latency, 1141.0 max latency.
911984 records sent, 182396.8 records/sec (22.27 MB/sec), 273.3 ms avg latency, 1077.0 max latency.
968244 records sent, 193648.8 records/sec (23.64 MB/sec), 264.6 ms avg latency, 1218.0 max latency.
953815 records sent, 190763.0 records/sec (23.29 MB/sec), 267.2 ms avg latency, 839.0 max latency.
970702 records sent, 194140.4 records/sec (23.70 MB/sec), 258.6 ms avg latency, 812.0 max latency.
902447 records sent, 180345.1 records/sec (22.01 MB/sec), 266.9 ms avg latency, 958.0 max latency.
931849 records sent, 186369.8 records/sec (22.75 MB/sec), 273.6 ms avg latency, 863.0 max latency.
954273 records sent, 189002.4 records/sec (23.07 MB/sec), 267.5 ms avg latency, 776.0 max latency.
928701 records sent, 185740.2 records/sec (22.67 MB/sec), 258.4 ms avg latency, 1094.0 max latency.
947917 records sent, 188602.7 records/sec (23.02 MB/sec), 272.3 ms avg latency, 1067.0 max latency.
950612 records sent, 190122.4 records/sec (23.21 MB/sec), 266.5 ms avg latency, 993.0 max latency.
942003 records sent, 187949.5 records/sec (22.94 MB/sec), 268.6 ms avg latency, 987.0 max latency.
926208 records sent, 185241.6 records/sec (22.61 MB/sec), 273.9 ms avg latency, 987.0 max latency.
884319 records sent, 176863.8 records/sec (21.59 MB/sec), 275.6 ms avg latency, 1045.0 max latency.
941241 records sent, 187610.3 records/sec (22.90 MB/sec), 271.2 ms avg latency, 775.0 max latency.
972880 records sent, 194576.0 records/sec (23.75 MB/sec), 262.4 ms avg latency, 816.0 max latency.
985725 records sent, 197145.0 records/sec (24.07 MB/sec), 257.0 ms avg latency, 881.0 max latency.
970868 records sent, 194173.6 records/sec (23.70 MB/sec), 257.9 ms avg latency, 878.0 max latency.
987372 records sent, 196296.6 records/sec (23.96 MB/sec), 252.6 ms avg latency, 903.0 max latency.
965431 records sent, 193086.2 records/sec (23.57 MB/sec), 257.5 ms avg latency, 922.0 max latency.
995158 records sent, 195704.6 records/sec (23.89 MB/sec), 260.9 ms avg latency, 877.0 max latency.
857331 records sent, 171089.8 records/sec (20.88 MB/sec), 290.6 ms avg latency, 1454.0 max latency.
930835 records sent, 185869.6 records/sec (22.69 MB/sec), 257.4 ms avg latency, 1028.0 max latency.
190000000 records sent, 189273.379496 records/sec (23.10 MB/sec), 265.03 ms avg latency, 1454.00 ms max latency, 127 ms 50th, 733 ms 95th, 927 ms 99th, 1104 ms 99.9th.
bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=8192
956310 records sent, 189819.4 records/sec (23.17 MB/sec), 234.4 ms avg latency, 1018.0 max latency.
1184886 records sent, 234538.0 records/sec (28.63 MB/sec), 221.6 ms avg latency, 835.0 max latency.
1063528 records sent, 212408.2 records/sec (25.93 MB/sec), 228.1 ms avg latency, 1071.0 max latency.
996200 records sent, 197228.3 records/sec (24.08 MB/sec), 260.7 ms avg latency, 1110.0 max latency.
994714 records sent, 198942.8 records/sec (24.29 MB/sec), 247.8 ms avg latency, 821.0 max latency.
962917 records sent, 192583.4 records/sec (23.51 MB/sec), 266.3 ms avg latency, 1027.0 max latency.
983978 records sent, 194731.4 records/sec (23.77 MB/sec), 248.4 ms avg latency, 818.0 max latency.
1010045 records sent, 202009.0 records/sec (24.66 MB/sec), 246.5 ms avg latency, 1093.0 max latency.
968147 records sent, 191978.4 records/sec (23.43 MB/sec), 266.2 ms avg latency, 1201.0 max latency.
955780 records sent, 190622.3 records/sec (23.27 MB/sec), 269.5 ms avg latency, 1076.0 max latency.
977035 records sent, 194667.3 records/sec (23.76 MB/sec), 259.4 ms avg latency, 797.0 max latency.
1013175 records sent, 200192.6 records/sec (24.44 MB/sec), 251.3 ms avg latency, 853.0 max latency.
959924 records sent, 191984.8 records/sec (23.44 MB/sec), 264.0 ms avg latency, 969.0 max latency.
891052 records sent, 178139.1 records/sec (21.75 MB/sec), 273.8 ms avg latency, 1017.0 max latency.
980326 records sent, 195673.9 records/sec (23.89 MB/sec), 258.9 ms avg latency, 895.0 max latency.
970674 records sent, 194134.8 records/sec (23.70 MB/sec), 264.7 ms avg latency, 933.0 max latency.
993124 records sent, 198386.7 records/sec (24.22 MB/sec), 252.5 ms avg latency, 861.0 max latency.
1042488 records sent, 207377.8 records/sec (25.31 MB/sec), 245.2 ms avg latency, 795.0 max latency.
1033079 records sent, 205833.6 records/sec (25.13 MB/sec), 232.5 ms avg latency, 848.0 max latency.
982330 records sent, 196466.0 records/sec (23.98 MB/sec), 265.8 ms avg latency, 939.0 max latency.
985925 records sent, 196870.0 records/sec (24.03 MB/sec), 250.5 ms avg latency, 821.0 max latency.
905563 records sent, 180859.4 records/sec (22.08 MB/sec), 283.9 ms avg latency, 1411.0 max latency.
985062 records sent, 195410.0 records/sec (23.85 MB/sec), 255.8 ms avg latency, 865.0 max latency.
1038805 records sent, 206562.9 records/sec (25.22 MB/sec), 245.7 ms avg latency, 792.0 max latency.
968375 records sent, 192558.2 records/sec (23.51 MB/sec), 258.2 ms avg latency, 873.0 max latency.
1008422 records sent, 199292.9 records/sec (24.33 MB/sec), 252.8 ms avg latency, 946.0 max latency.
982240 records sent, 196448.0 records/sec (23.98 MB/sec), 253.9 ms avg latency, 802.0 max latency.
951023 records sent, 190204.6 records/sec (23.22 MB/sec), 263.4 ms avg latency, 972.0 max latency.
998916 records sent, 198789.3 records/sec (24.27 MB/sec), 250.0 ms avg latency, 1026.0 max latency.
963575 records sent, 192715.0 records/sec (23.52 MB/sec), 265.3 ms avg latency, 824.0 max latency.
970499 records sent, 193018.9 records/sec (23.56 MB/sec), 256.5 ms avg latency, 798.0 max latency.
1083083 records sent, 216486.7 records/sec (26.43 MB/sec), 238.0 ms avg latency, 895.0 max latency.
1040961 records sent, 208192.2 records/sec (25.41 MB/sec), 238.1 ms avg latency, 898.0 max latency.
985034 records sent, 196182.8 records/sec (23.95 MB/sec), 257.8 ms avg latency, 904.0 max latency.
969394 records sent, 193878.8 records/sec (23.67 MB/sec), 259.4 ms avg latency, 847.0 max latency.
1009674 records sent, 201934.8 records/sec (24.65 MB/sec), 250.4 ms avg latency, 979.0 max latency.
978571 records sent, 195714.2 records/sec (23.89 MB/sec), 244.7 ms avg latency, 952.0 max latency.
1024652 records sent, 204766.6 records/sec (25.00 MB/sec), 261.9 ms avg latency, 1026.0 max latency.
1046480 records sent, 209296.0 records/sec (25.55 MB/sec), 245.9 ms avg latency, 854.0 max latency.
994932 records sent, 198154.2 records/sec (24.19 MB/sec), 251.7 ms avg latency, 753.0 max latency.
958220 records sent, 191529.1 records/sec (23.38 MB/sec), 256.7 ms avg latency, 1024.0 max latency.
971145 records sent, 193725.3 records/sec (23.65 MB/sec), 259.5 ms avg latency, 1076.0 max latency.
1000774 records sent, 200154.8 records/sec (24.43 MB/sec), 253.7 ms avg latency, 732.0 max latency.
976222 records sent, 193541.2 records/sec (23.63 MB/sec), 251.0 ms avg latency, 874.0 max latency.
1010304 records sent, 201215.7 records/sec (24.56 MB/sec), 253.9 ms avg latency, 873.0 max latency.
952814 records sent, 190562.8 records/sec (23.26 MB/sec), 271.0 ms avg latency, 1053.0 max latency.
960545 records sent, 191534.4 records/sec (23.38 MB/sec), 261.7 ms avg latency, 734.0 max latency.
973282 records sent, 194656.4 records/sec (23.76 MB/sec), 263.3 ms avg latency, 789.0 max latency.
925255 records sent, 185051.0 records/sec (22.59 MB/sec), 267.9 ms avg latency, 1035.0 max latency.
995362 records sent, 199072.4 records/sec (24.30 MB/sec), 255.8 ms avg latency, 980.0 max latency.
969801 records sent, 192880.1 records/sec (23.54 MB/sec), 262.9 ms avg latency, 1092.0 max latency.
972023 records sent, 194404.6 records/sec (23.73 MB/sec), 265.1 ms avg latency, 812.0 max latency.
992215 records sent, 198443.0 records/sec (24.22 MB/sec), 253.4 ms avg latency, 765.0 max latency.
967520 records sent, 193272.1 records/sec (23.59 MB/sec), 253.6 ms avg latency, 787.0 max latency.
1010895 records sent, 202138.6 records/sec (24.68 MB/sec), 256.4 ms avg latency, 886.0 max latency.
980866 records sent, 196173.2 records/sec (23.95 MB/sec), 255.0 ms avg latency, 783.0 max latency.
983570 records sent, 195930.3 records/sec (23.92 MB/sec), 245.4 ms avg latency, 929.0 max latency.
930682 records sent, 186136.4 records/sec (22.72 MB/sec), 270.3 ms avg latency, 983.0 max latency.
1027872 records sent, 204510.9 records/sec (24.96 MB/sec), 246.2 ms avg latency, 956.0 max latency.
971870 records sent, 191841.7 records/sec (23.42 MB/sec), 260.6 ms avg latency, 923.0 max latency.
